Designator,Mid X,Mid Y,Rotation,Layer
BT1,156.91125,-143.98,270.0,top
C10,109.679669,-101.758251,180.0,top
C11,171.68,-129.6325,270.0,top
C12,115.288535,-104.160243,180.0,top
C13,115.288535,-128.709184,0.0,top
C14,120.817244,-106.6,180.0,top
C15,120.817244,-126.4,0.0,top
C16,164.68,-129.6325,270.0,top
C17,171.2,-138.3,180.0,top
C18,132.75,-110.0,270.0,top
C19,132.75,-123.25,270.0,top
C20,166.1125,-139.5,90.0,top
C21,129.25,-110.0,270.0,top
C22,129.25,-123.25,270.0,top
C23,131.0,-110.0,270.0,top
C24,131.0,-123.25,270.0,top
C25,135.5,-111.0,270.0,top
C26,135.5,-122.25,270.0,top
C27,146.25,-108.9,90.0,top
C28,146.75,-122.44,180.0,top
C29,157.77375,-146.38,180.0,top
C30,163.3125,-148.52,0.0,top
C31,146.9,-147.0,270.0,bottom
C32,144.23,-146.4,270.0,bottom
C33,138.13,-144.2,90.0,bottom
C34,135.63,-137.67,0.0,bottom
C35,135.63,-145.87,180.0,bottom
C36,152.6,-105.09,180.0,top
C37,152.6,-112.29,180.0,top
C38,128.45,-139.8,270.0,bottom
C39,128.45,-146.3,270.0,bottom
C40,152.6295,-121.09,180.0,top
C41,152.6295,-128.29,180.0,top
C42,163.95,-112.9,180.0,top
C43,163.95,-120.1,180.0,top
C44,121.05,-139.8,270.0,bottom
C45,121.05,-146.325,270.0,bottom
C46,95.0,-102.5,270.0,top
C47,95.0,-108.0,270.0,top
C48,95.0,-124.9375,270.0,top
C49,95.0,-130.4375,270.0,top
C5,98.803486,-97.015215,180.0,top
C50,141.23,-138.6,180.0,bottom
C51,141.23,-145.4,180.0,bottom
C52,138.3,-138.7625,90.0,bottom
C6,98.787765,-135.905272,0.0,top
C7,104.266175,-99.380212,180.0,top
C8,104.213775,-133.511113,0.0,top
C9,109.703179,-131.104819,0.0,top
D1,174.68,-129.6325,270.0,top
D2,139.5,-116.5,270.0,top
D3,169.1125,-147.3,0.0,top
D4,169.1125,-145.5,0.0,top
F1,177.68,-129.9325,90.0,top
FB1,168.18,-128.6325,180.0,top
J3,183.28,-132.92,90.0,top
J4,179.325,-118.5,270.0,top
L1,145.03,-141.9875,90.0,bottom
R1,183.98,-132.12,180.0,bottom
R10,115.288535,-126.309184,0.0,top
R11,120.817244,-109.0,0.0,top
R12,120.817244,-124.0,0.0,top
R13,124.5,-110.0,270.0,top
R14,124.5,-123.0,270.0,top
R15,126.75,-110.0,270.0,top
R16,127.0,-123.0,270.0,top
R17,162.3125,-139.5,270.0,top
R18,157.81125,-148.08,0.0,top
R19,164.229166,-139.5,270.0,top
R2,183.98,-133.77,180.0,bottom
R20,169.1125,-141.9,180.0,top
R21,160.395833,-139.5,270.0,top
R22,147.75,-108.9,270.0,top
R23,146.775,-124.023333,0.0,top
R24,157.73875,-141.6,0.0,top
R25,169.1125,-149.1,180.0,top
R26,169.1125,-143.7,180.0,top
R27,146.8,-128.79,180.0,top
R28,146.775,-127.206667,180.0,top
R29,157.7,-118.25,0.0,top
R3,98.803486,-99.415215,0.0,top
R30,157.7,-116.5,0.0,top
R31,157.7,-120.0,180.0,top
R32,158.6,-114.05,90.0,top
R33,170.2,-115.45,0.0,top
R34,170.2,-118.45,0.0,top
R35,135.63,-139.27,180.0,bottom
R36,134.7,-141.75,90.0,bottom
R37,135.63,-144.27,0.0,bottom
R38,131.95,-138.3,180.0,bottom
R39,132.2,-147.8,180.0,bottom
R4,98.787765,-133.505272,0.0,top
R40,124.8,-138.3,180.0,bottom
R41,124.82,-147.9,180.0,bottom
R42,146.7625,-125.606667,180.0,top
R5,104.266175,-101.780212,0.0,top
R6,104.213775,-131.111113,0.0,top
R7,109.679669,-104.158251,0.0,top
R8,109.703179,-128.704819,0.0,top
R9,115.288535,-106.560243,0.0,top
RV1,127.295,-116.515,90.0,top
SW1,151.8,-144.825,270.0,top
SW2,144.2,-116.39,270.0,top
U1,163.3275,-145.12,0.0,top
U2,152.6,-108.69,270.0,top
U3,152.6,-124.69,270.0,top
U4,163.95,-116.5,270.0,top
U5,141.23,-141.9875,90.0,bottom
